marker	chr	pos	bp
JAX00014320	10	1.8128	3021156
JAX00281239	10	1.8243	3040344
JAX00014323	10	1.8315	3052424
JAX00281244	10	1.8440	3073227
JAX00014326	10	1.8517	3085971
JAX00014327	10	1.8530	3088178
JAX00281248	10	1.8530001	3095414
JAX00281249	10	1.8530002	3105300
JAX00281250	10	1.8530003	3117021
JAX00281253	10	1.8530004	3141502
JAX00281255	10	1.8530005	3143494
JAX00281256	10	1.8530006	3143721
JAX00281264	10	1.8530007	3152277
JAX00281266	10	1.8530008	3154379
JAX00281269	10	1.8530009	3162140
JAX00281276	10	1.853001	3211114
JAX00281282	10	1.8530011	3215356
JAX00281286	10	1.8530012	3225689
JAX00281291	10	1.8530013	3232280
JAX00281295	10	1.8530014	3240479
JAX00281297	10	1.8530015	3265863
JAX00281300	10	1.8530016	3274296
JAX00281302	10	1.8530017	3276802
JAX00281303	10	1.8530018	3287618
JAX00281305	10	1.8530019	3291626
JAX00014341	10	1.853002	3292225
JAX00014342	10	1.8530021	3292357
JAX00281308	10	1.8530022	3311547
JAX00194439	10	1.8530023	3311578
JAX00281310	10	1.8530024	3330935
JAX00281316	10	1.8530025	3341052
JAX00281318	10	1.8530026	3343000
JAX00014346	10	1.8530027	3345341
JAX00281320	10	1.8530028	3345554
JAX00281325	10	1.8530029	3349292
JAX00014349	10	1.853003	3392205
JAX00281340	10	1.8530031	3428171
JAX00014352	10	1.8530032	3429527
JAX00281346	10	1.8530033	3437485
JAX00281347	10	1.8530034	3438302
JAX00281348	10	1.8530035	3450038
JAX00014353	10	1.8530036	3457199
JAX00014354	10	1.8530037	3458170
JAX00281353	10	1.8530038	3466072
JAX00281357	10	1.8530039	3474793
JAX00194443	10	1.853004	3497770
JAX00014357	10	1.8530041	3504309
JAX00281362	10	1.8530042	3516753
JAX00281363	10	1.8530043	3518570
JAX00281370	10	1.8530044	3530680
JAX00281371	10	1.8530045	3531867
JAX00281373	10	1.8530046	3550147
JAX00014361	10	1.8530047	3552256
JAX00281376	10	1.8530048	3555432
JAX00014362	10	1.8530049	3571944
JAX00014363	10	1.853005	3577129
JAX00281379	10	1.8530051	3590658
JAX00014364	10	1.8530052	3597808
JAX00281382	10	1.8530053	3619726
JAX00281384	10	1.8530054	3623804
JAX00281391	10	1.8530055	3642903
JAX00014368	10	1.8530056	3656398
JAX00281394	10	1.8530057	3668690
JAX00014370	10	1.8530058	3668806
JAX00281396	10	1.8530059	3674077
JAX00281399	10	1.853006	3724237
JAX00014374	10	1.8530061	3728651
JAX00281401	10	1.8530062	3728790
JAX00281402	10	1.8530063	3731618
JAX00281403	10	1.8530064	3731914
JAX00281405	10	1.8530065	3735320
JAX00014375	10	1.8530066	3747743
JAX00281406	10	1.8530067	3761351
JAX00281415	10	1.8530068	3792379
JAX00281417	10	1.8530069	3793648
JAX00281419	10	1.853007	3794353
JAX00281422	10	1.8530071	3797757
JAX00014380	10	1.8530072	3816850
JAX00281425	10	1.8530073	3824998
JAX00014383	10	1.8530074	3842784
JAX00281429	10	1.8530075	3851232
JAX00281433	10	1.8548	3855880
JAX00281435	10	1.8553	3856991
JAX00281437	10	1.8637	3878195
JAX00281438	10	1.8645	3880184
JAX00281442	10	1.8720	3899077
JAX00281443	10	1.8721	3899268
JAX00281445	10	1.8770	3911739
JAX00281453	10	1.8914	3947927
JAX00014391	10	1.8917	3948808
JAX00281460	10	1.8972	3962585
JAX00281463	10	1.9002	3970238
JAX00281464	10	1.9003	3970543
JAX00281465	10	1.9004	3970674
JAX00281466	10	1.9004001	3970742
JAX00014394	10	1.9057	3984219
JAX00281472	10	1.9070	4044411
JAX00281480	10	1.9070001	4056283
JAX00281482	10	1.9070002	4079273
JAX00014401	10	1.9070003	4080457
JAX00281485	10	1.9070004	4084743
JAX00281490	10	1.9070005	4108181
JAX00014404	10	1.9070006	4137339
JAX00014406	10	1.9070007	4151188
JAX00014407	10	1.9070008	4178150
JAX00281494	10	1.9070009	4178744
JAX00281499	10	1.907001	4194239
JAX00281500	10	1.9070011	4194804
JAX00281502	10	1.9070012	4196401
JAX00281504	10	1.9070013	4198704
JAX00281505	10	1.9070014	4200199
JAX00281508	10	1.9070015	4230440
JAX00281510	10	1.9070016	4247404
JAX00281511	10	1.9070017	4247445
JAX00281517	10	1.9070018	4304646
JAX00281525	10	1.9070019	4350038
JAX00281527	10	1.907002	4371982
JAX00281530	10	1.9070021	4376159
JAX00014423	10	1.9070022	4378670
JAX00014424	10	1.9070023	4378936
JAX00281536	10	1.9070024	4400139
JAX00281538	10	1.9070025	4402656
JAX00281541	10	1.9070026	4421609
JAX00014428	10	1.9070027	4442938
JAX00281543	10	1.9070028	4446668
JAX00281547	10	1.9070029	4460285
JAX00281548	10	1.907003	4460489
JAX00281552	10	1.9070031	4478165
JAX00014431	10	1.9070032	4484607
JAX00014433	10	1.9070033	4491884
JAX00281559	10	1.9070034	4499990
JAX00281560	10	1.9070035	4500037
JAX00194462	10	1.9070036	4500538
JAX00281568	10	1.9070037	4516880
JAX00187259	10	1.9070038	4538505
JAX00281574	10	1.9070039	4558131
JAX00014436	10	1.907004	4558359
JAX00014437	10	1.9070041	4560033
JAX00281576	10	1.9070042	4576777
JAX00281577	10	1.9070043	4576936
JAX00281581	10	1.9099	4613779
JAX00014441	10	1.9107	4614892
JAX00281584	10	1.9132	4618668
JAX00281587	10	1.9511	4675170
JAX00281589	10	1.9571	4684134
JAX00281590	10	1.9572	4684349
JAX00281592	10	1.9705	4704051
JAX00281593	10	1.9721	4706560
JAX00281594	10	1.9730	4707798
JAX00281599	10	1.9759	4712212
JAX00014450	10	2.0012	4749850
JAX00014451	10	2.0077	4759573
JAX00281604	10	2.0131	4767582
JAX00281612	10	2.0140	4799610
JAX00281613	10	2.0140001	4800885
JAX00194469	10	2.0140002	4801283
JAX00194471	10	2.0140003	4801846
JAX00281618	10	2.0140004	4815436
JAX00281619	10	2.0140005	4817161
JAX00281620	10	2.0140006	4817446
JAX00281621	10	2.0140007	4817619
JAX00281622	10	2.0140008	4819420
JAX00281626	10	2.0140009	4824060
JAX00281628	10	2.014001	4824171
JAX00281638	10	2.0140011	4840925
JAX00281648	10	2.0140012	4862317
JAX00014460	10	2.0140013	4864511
JAX00281657	10	2.0140014	4886932
JAX00281658	10	2.0140015	4889780
JAX00281659	10	2.0140016	4890057
JAX00281660	10	2.0140017	4898197
JAX00194472	10	2.0140018	4905958
JAX00014464	10	2.0140019	4920124
JAX00014465	10	2.014002	4929541
JAX00281661	10	2.0140021	4933732
JAX00194473	10	2.0140022	4941836
JAX00281663	10	2.0140023	4943931
JAX00281664	10	2.0140024	4960240
JAX00281667	10	2.0140025	4965621
JAX00281668	10	2.0140026	4968230
JAX00014468	10	2.0140027	4978730
JAX00014469	10	2.0140028	4980912
JAX00281672	10	2.0140029	4992094
JAX00281673	10	2.014003	4992499
JAX00281675	10	2.0140031	4995429
JAX00281680	10	2.0140032	4998266
JAX00014470	10	2.0140033	5001581
JAX00281682	10	2.0140034	5004523
JAX00014472	10	2.0140035	5014654
JAX00281683	10	2.0140036	5031195
JAX00281685	10	2.0140037	5031877
JAX00014473	10	2.0140038	5048081
JAX00281695	10	2.0140039	5080121
JAX00014477	10	2.014004	5083749
JAX00281704	10	2.0156	5105175
JAX00281714	10	2.0197	5158958
JAX00281723	10	2.0246	5224853
JAX00014487	10	2.0255	5236376
JAX00281729	10	2.0283	5273437
JAX00187261	10	2.0287	5279304
JAX00281733	10	2.0293	5286831
JAX00014491	10	2.0293001	5287451
JAX00281735	10	2.0293002	5287533
JAX00281736	10	2.0304	5301506
JAX00194483	10	2.0308	5306763
JAX00194484	10	2.0308001	5307007
JAX00194485	10	2.0318	5320294
JAX00281745	10	2.0354	5368141
JAX00281746	10	2.0356	5370617
JAX00281749	10	2.0364	5381998
JAX00281755	10	2.0375	5396007
JAX00014500	10	2.0380	5403130
JAX00281759	10	2.0398	5426338
JAX00281760	10	2.0406	5437210
JAX00014503	10	2.0422	5458328
JAX00014506	10	2.0445	5488719
JAX00281766	10	2.0450	5495459
JAX00014510	10	2.0482	5538130
JAX00014511	10	2.0482001	5538715
JAX00281775	10	2.0491	5550502
JAX00281780	10	2.0544	5620730
JAX00014517	10	2.0545	5621690
JAX00281782	10	2.0547	5624850
JAX00014519	10	2.0565	5649010
JAX00281789	10	2.0565001	5649225
JAX00281790	10	2.0576	5664150
JAX00281791	10	2.0581	5670514
JAX00281794	10	2.0598	5693361
JAX00281796	10	2.0602	5697612
JAX00281799	10	2.0610	5715668
JAX00281802	10	2.0610001	5732202
JAX00014525	10	2.0610002	5739108
JAX00281806	10	2.0610003	5753132
JAX00281812	10	2.0610004	5768120
JAX00281814	10	2.0610005	5770621
JAX00281816	10	2.0610006	5773138
JAX00281819	10	2.0610007	5780307
JAX00281822	10	2.0610008	5786496
JAX00014527	10	2.0610009	5789492
JAX00014534	10	2.061001	5849862
JAX00014535	10	2.0610011	5870789
JAX00014536	10	2.0610012	5892304
JAX00281835	10	2.0610013	5920286
JAX00281839	10	2.0610014	5921303
JAX00281840	10	2.0610015	5921715
JAX00281850	10	2.0610016	5933267
JAX00014540	10	2.0610017	5941090
JAX00281858	10	2.0610018	5989310
JAX00281859	10	2.0610019	5989995
JAX00014546	10	2.061002	6021343
JAX00281861	10	2.0610021	6025182
JAX00281865	10	2.0610022	6040623
JAX00014548	10	2.0610023	6050068
JAX00281873	10	2.0610024	6082463
JAX00014553	10	2.0610025	6092084
JAX00281877	10	2.0610026	6148419
JAX00014557	10	2.0610027	6178105
JAX00014558	10	2.0610028	6178332
JAX00281881	10	2.0610029	6180082
JAX00014560	10	2.061003	6203819
JAX00014561	10	2.0610031	6204145
JAX00281884	10	2.0610032	6219208
JAX00281886	10	2.0610033	6225277
JAX00014562	10	2.0610034	6226525
JAX00281891	10	2.0610035	6234616
JAX00281896	10	2.0610036	6248637
JAX00281898	10	2.0610037	6262994
JAX00281902	10	2.0610038	6304755
JAX00014567	10	2.0610039	6309090
JAX00194504	10	2.061004	6313641
JAX00014568	10	2.0610041	6317118
JAX00014570	10	2.0610042	6352782
JAX00014573	10	2.0610043	6382422
JAX00281915	10	2.0610044	6385877
JAX00014574	10	2.0610045	6395808
JAX00281924	10	2.0610046	6429023
JAX00281930	10	2.0610047	6453371
JAX00281934	10	2.0610048	6500062
JAX00014582	10	2.0610049	6500604
JAX00281937	10	2.061005	6526862
JAX00281941	10	2.0610051	6534963
JAX00281942	10	2.0610052	6557916
JAX00281950	10	2.0610053	6565062
JAX00281952	10	2.0610054	6574438
JAX00281953	10	2.0610055	6576791
JAX00281955	10	2.0610056	6610211
JAX00281958	10	2.0610057	6618620
JAX00281959	10	2.0610058	6618680
JAX00014592	10	2.0610059	6626901
JAX00281965	10	2.061006	6648650
JAX00281967	10	2.0610061	6650344
JAX00014594	10	2.0610062	6663137
JAX00281971	10	2.0610063	6687551
JAX00194512	10	2.0610064	6696970
JAX00281975	10	2.0610065	6747308
JAX00281978	10	2.0610066	6748678
JAX00014600	10	2.0610067	6749678
JAX00281979	10	2.0610068	6750815
JAX00281980	10	2.0610069	6751408
JAX00014607	10	2.061007	6832353
JAX00014608	10	2.0610071	6855996
JAX00014609	10	2.0610072	6861656
JAX00281995	10	2.0610073	6891856
JAX00014612	10	2.0610074	6901833
JAX00014615	10	2.0610075	6928990
JAX00282002	10	2.0610076	6964714
JAX00282003	10	2.0610077	6968801
JAX00282008	10	2.0610078	7000271
JAX00282009	10	2.0610079	7002083
JAX00014620	10	2.061008	7015830
JAX00282015	10	2.0649	7050917
JAX00014625	10	2.0726	7062656
JAX00282026	10	2.1235	7140970
JAX00014629	10	2.1303	7151309
JAX00282029	10	2.1349	7158365
JAX00282030	10	2.1349001	7158443
JAX00282032	10	2.1386	7164089
JAX00282035	10	2.1432	7171144
JAX00282036	10	2.1437	7172026
JAX00282038	10	2.1443	7172874
JAX00282039	10	2.1605	7197710
JAX00282040	10	2.1728	7216640
JAX00282045	10	2.2196	7288559
JAX00282046	10	2.2212	7291035
JAX00014638	10	2.2240	7295286
JAX00282047	10	2.2254	7297535
JAX00014640	10	2.2270	7300015
JAX00194526	10	2.2365	7314637
JAX00014643	10	2.2513	7337269
JAX00282052	10	2.2635	7356080
JAX00282053	10	2.2808	7382698
JAX00282060	10	2.3090	7425968
JAX00282062	10	2.3105	7428344
JAX00282066	10	2.3291	7456838
JAX00282068	10	2.3401	7473836
JAX00014652	10	2.3437	7479367
JAX00014653	10	2.3455	7482025
JAX00282074	10	2.3640	7501429
JAX00282085	10	2.3874	7516161
JAX00282086	10	2.3877	7516366
JAX00282089	10	2.3938	7520207
JAX00282090	10	2.4147	7533338
JAX00014656	10	2.4218	7537803
JAX00282094	10	2.4789	7573762
JAX00282095	10	2.4792	7573964
JAX00014659	10	2.4828	7576198
JAX00014661	10	2.4830	7576372
JAX00282102	10	2.5024	7588579
JAX00282104	10	2.5353	7609248
JAX00014662	10	2.5384	7611226
JAX00282108	10	2.5592	7624337
JAX00014663	10	2.5641	7627406
JAX00282109	10	2.5661	7628678
JAX00014666	10	2.5730	7663879
JAX00282114	10	2.5730001	7667035
JAX00014668	10	2.5824	7699608
JAX00282122	10	2.5927	7722163
JAX00282123	10	2.5944	7725736
JAX00194538	10	2.6016	7741639
JAX00014672	10	2.6031	7744862
JAX00282126	10	2.6034	7745431
JAX00282128	10	2.6106	7761322
JAX00014674	10	2.6106001	7761351
JAX00014676	10	2.6205	7782944
JAX00282139	10	2.6242	7791017
JAX00282147	10	2.6365	7817893
JAX00282166	10	2.6460	7863165
JAX00282168	10	2.6460001	7873323
JAX00282173	10	2.6460002	7889791
JAX00014684	10	2.6460003	7900175
JAX00282179	10	2.6460004	7913344
JAX00282181	10	2.6460005	7927997
JAX00014687	10	2.6460006	7939200
JAX00282193	10	2.6460007	7974200
JAX00014691	10	2.6460008	7992346
JAX00282199	10	2.6460009	8014404
